Step	Training Loss
1	2.817600
2	2.617400
3	2.772600
4	2.657600
5	2.816300
6	2.805300
7	2.613600
8	3.052100
9	3.110100
10	2.914600
11	2.705000
12	3.215000
13	3.118400
14	2.497400
15	2.807300
16	3.180400
17	2.429800
18	3.326600
19	2.647100
20	2.542100
21	3.031000
22	3.107500
23	2.803400
24	3.188400
25	3.035500
26	2.720500
27	2.461600
28	2.945600
29	2.598800
30	2.739200
31	2.719100
32	2.769100
33	2.335500
34	3.021900
35	2.945800
36	2.940600
37	2.905500
38	2.429500
39	2.813900
40	3.056400
41	2.874700
42	2.595200
43	2.785700
44	2.810500
45	2.796200
46	2.439400
47	2.916000
48	2.396600
49	3.127600
50	2.926000
51	2.961000
52	3.291200
53	2.369600
54	3.027100
55	2.740700
56	2.417800
57	3.070300
58	2.663800
59	2.940300
60	2.781000
61	2.632800
62	2.924300
63	2.984200
64	2.891100
65	2.654400
66	2.681900
67	2.598200
68	2.589100
69	2.681000
70	2.854000
71	2.269600
72	2.414000
73	2.510800
74	2.469100
75	2.644800
76	2.510800
77	2.491900
78	2.745600
79	2.466800
80	2.544900
81	2.111900
82	2.373300
83	2.401200
84	2.278300
85	2.217900
86	2.068600
87	2.241700
88	1.991300
89	2.552000
90	2.267800
91	1.667300
92	2.229200
93	2.096500
94	2.028300
95	2.363500
96	2.403000
97	1.944800
98	1.937700
99	1.939000
100	2.149300
101	2.208800
102	1.538400
103	1.800200
104	2.066900
105	1.863400
106	1.608400
107	1.788300
108	1.921900
109	1.821600
110	1.664500
111	1.575700
112	1.670900
113	1.569700
114	1.477300
115	1.563100
116	1.722600
117	1.335700
118	1.582400
119	1.826600
120	1.529700
121	1.662300
122	1.611600
123	1.335400
124	1.390600
125	1.496000
126	1.320800
127	1.576600
128	1.355900
129	1.480600
130	1.420100
131	1.413600
132	1.501900
133	1.399200
134	1.605500
135	1.260700
136	1.649400
137	1.548200
138	1.537200
139	1.673400
140	1.527300
141	1.440300
142	1.486300
143	1.421100
144	1.453900
145	1.311000
146	1.488300
147	1.394200
148	1.173900
149	1.154700
150	2.030100
151	1.582900
152	1.543400
153	1.511500
154	1.266000
155	1.361800
156	1.574000
157	1.415300
158	1.148000
159	1.548300
160	1.589200
161	1.607300
162	1.465400
163	1.592400
164	1.269700
165	1.504800
166	1.427100
167	1.292000
168	1.493600
169	1.323700
170	1.420500
171	1.234200
172	1.483800
173	1.413000
174	1.407800
175	1.385800
176	1.208900
177	1.529600
178	1.364600
179	0.969400
