Step	Training Loss
1	3.291500
2	3.180600
3	3.276400
4	2.994800
5	2.783100
6	3.421400
7	3.210800
8	3.127000
9	3.468000
10	3.342200
11	3.568500
12	2.979300
13	3.644000
14	2.638900
15	3.588300
16	3.363700
17	3.404900
18	2.865700
19	3.484000
20	3.434600
21	2.946500
22	3.112200
23	3.894100
24	3.411500
25	2.874400
26	3.526200
27	2.848600
28	3.244400
29	3.288800
30	3.061900
31	3.348500
32	3.070000
33	3.071200
34	2.674600
35	3.116300
36	3.543400
37	3.075100
38	2.887700
39	2.960900
40	3.064200
41	3.350300
42	3.296500
43	3.133800
44	3.370600
45	3.410800
46	3.027800
47	3.458600
48	3.208000
49	3.162100
50	2.958300
51	3.264300
52	2.809200
53	2.553800
54	2.908100
55	3.042900
56	2.601000
57	2.915400
58	3.141300
59	2.542800
60	2.708500
61	2.896300
62	2.718400
63	2.881400
64	2.846700
65	2.572300
66	2.742100
67	3.092000
68	3.146600
69	3.059800
70	3.112400
71	2.718800
72	3.231000
73	2.422900
74	3.065000
75	2.807300
76	2.598700
77	2.883000
78	2.867400
79	2.940600
80	2.753100
81	3.187100
82	2.733400
83	2.369100
84	3.195700
85	2.648200
86	2.922600
87	2.642300
88	3.160100
89	2.792100
90	2.513000
91	2.550200
92	2.534700
93	3.000200
94	2.937800
95	2.753700
96	2.956900
97	2.870000
98	2.920800
99	2.793700
100	2.953000
101	2.789600
102	3.095500
103	2.713000
104	3.067900
105	2.467500
106	2.554400
107	2.807500
108	2.719800
109	2.717800
110	2.452600
111	2.594900
112	2.662300
113	2.891100
114	3.135400
115	2.781600
116	2.862300
117	2.746400
118	2.825800
119	2.582000
120	2.486700
